CustomerID,Amount,DeviceBrand,DeviceModel,Fraud,FraudType
5346,671.25,Laptop,Lenovo ThinkPad,0,Non-Fraud
1956,3593.72,Laptop,HP Pavilion,0,Non-Fraud
6587,1354.52,Vivo,X90,0,Non-Fraud
4551,2840.53,Xiaomi,Pad 6,0,Non-Fraud
1696,1978.52,Realme,C55,1,"CNP (Card Not Present)
Bot Transaksi"
8043,2351.29,Huawei,P50 Pro,0,Non-Fraud
5076,4264.52,Xiaomi,Pad 6,1,"CNP (Card Not Present)
Transaksi Berulang"
2869,3637.88,Samsung,Galaxy Z Fold 5,0,Non-Fraud
2206,3538.79,Apple,iPad Pro 12.9,0,Non-Fraud
3402,4225.94,Laptop,Asus ROG,1,"Fraud Onboarding 
Identitas Palsu"
2471,3058.65,Laptop,MSI Stealth,1,"Fraud E-Commerce
Pembayaran Ditunda"
2063,4534.84,Infinix,Zero Ultra,1,"Fraud E-Commerce
Refund Fraud"
1126,3230.42,Laptop,Asus ROG,1,"CNP (Card Not Present)
Transaksi Berulang"
5502,2709.13,Infinix,Zero Ultra,1,"CNP (Card Not Present)
Fake Account"
5297,2095.37,Xiaomi,Mi 11 Ultra,0,Non-Fraud
3775,4734.2,Custom PC,Windows 10 Office PC,1,"Fraud Onboarding 
Data Duplikat"
8062,1608.62,Apple,MacBook Air M2,1,"Fraud E-Commerce
Ulasan Palsu"
4564,1123.68,Xiaomi,Pad 6,1,"Fraud Onboarding 
Data Duplikat"
2545,2770.06,Samsung,Galaxy S23,1,"Fraud Onboarding 
Data Duplikat"
2684,3190.1,Oppo,A78,0,Non-Fraud
8267,1276.53,Xiaomi,Pad 6,0,Non-Fraud
6386,2062.3,Apple,iPhone 14 Pro Max,0,Non-Fraud
1561,477.94,Laptop,Acer Aspire,1,"Counterfeit
Cetak Kartu Palsu"
4211,4932.87,Huawei,Mate 40,0,Non-Fraud
8826,272.35,Samsung,Galaxy A54,0,Non-Fraud
4177,3047.37,Google,Pixel 6a,1,"Fraud E-Commerce
Ulasan Palsu"
3594,1859.34,Apple,iPhone SE,0,Non-Fraud
1259,4427.67,Apple,iPad Air,1,"Fraud E-Commerce
Diskon Palsu"
8205,62.42,Laptop,Asus ROG,0,Non-Fraud
4518,4203.04,Apple,iPad Air,0,Non-Fraud
7799,4721.17,Xiaomi,Mi 11 Ultra,1,"CNP (Card Not Present)
Phising Data"
5859,1168.79,Google,Pixel 7,1,"CNP (Card Not Present)
Phising Data"
8139,3606.28,Google,Pixel 7,1,"Fraud E-Commerce
Pesanan Palsu"
2049,1901.48,Huawei,P50 Pro,1,"Fraud Onboarding 
Alamat Palsu"
3824,1702.92,Apple,iPhone 13 Pro,0,Non-Fraud
7294,3199.73,Realme,GT Neo 5,0,Non-Fraud
6484,911.57,Realme,C55,0,Non-Fraud
6949,235.6,Xiaomi,Pad 6,1,"Fraud Onboarding 
Dokumen Curian"
1758,1838.62,Samsung,Galaxy Tab A8,1,"Fraud E-Commerce
Refund Fraud"
7924,4360.08,Infinix,Hot 30,0,Non-Fraud
9012,3795.87,Realme,GT Neo 5,1,"CNP (Card Not Present)
Fake Account"
4166,4328.29,Infinix,Hot 30,0,Non-Fraud
1803,1423.57,Infinix,Zero Ultra,1,"CNP (Card Not Present)
Bot Transaksi"
7980,590.24,Custom PC,Windows 11 Gaming Rig,0,Non-Fraud
6779,4185.44,Infinix,Zero Ultra,0,Non-Fraud
6572,2445.39,Samsung,Galaxy Note 20,1,"CNP (Card Not Present)
Phising Data"
4078,919.99,Samsung,Galaxy Note 20,1,"Fraud Onboarding 
Identitas Palsu"
3500,1254.18,Realme,C55,0,Non-Fraud
8429,2890.55,Google,Pixel 6a,0,Non-Fraud
4387,2909.93,Google,Pixel 7,0,Non-Fraud
2292,1743.45,Vivo,V27 Pro,1,"Counterfeit
Kartu Kloning"
6613,4956.27,Laptop,HP Pavilion,0,Non-Fraud
8832,645.23,Vivo,Y36,1,"CNP (Card Not Present)
Phising Data"
4448,2374.07,Vivo,Y36,1,"Counterfeit
Cetak Kartu Palsu"
5671,624.69,Xiaomi,Pad 6,1,"Counterfeit
Penjualan Kartu Palsu"
8242,2870.54,Google,Pixel 7,1,"CNP (Card Not Present)
IP Asing "
6952,2709.92,Apple,iPad Air,1,"CNP (Card Not Present)
IP Asing "
2851,2258.23,Oppo,A78,0,Non-Fraud
3131,1660.56,Apple,MacBook Pro M3,0,Non-Fraud
6270,1799.58,Custom PC,Windows 11 Gaming Rig,1,"Fraud E-Commerce
Pembayaran Ditunda"
2257,4548.58,Huawei,Mate 40,0,Non-Fraud
9934,1974.35,Xiaomi,Poco X5,0,Non-Fraud
4135,1301.04,Infinix,Hot 30,1,"Counterfeit
Penjualan Kartu Palsu"
4073,4170.93,Laptop,MSI Stealth,1,"CNP (Card Not Present)
Fake Account"
6189,2953.96,Apple,iPhone 12,0,Non-Fraud
1464,322.48,Apple,iPhone 13 Pro,1,"Fraud Onboarding 
Alamat Palsu"
5721,1351.86,Laptop,Dell XPS,1,"Fraud Onboarding 
Bot Registerasi"
3177,3859.5,Samsung,Galaxy Tab S9,0,Non-Fraud
5960,4614.98,Laptop,Lenovo ThinkPad,1,"Fraud E-Commerce
Pembayaran Ditunda"
3863,4086.51,Realme,C55,0,Non-Fraud
4979,1885.94,Xiaomi,Redmi 13C,1,"CNP (Card Not Present)
Phising Data"
3905,4033.65,Infinix,Zero Ultra,1,"Fraud E-Commerce
Pesanan Palsu"
2278,4935.2,Google,Pixel 6a,1,"Counterfeit
Modifikasi Chip"
9266,4444.94,Apple,iPhone 12,1,"Fraud Onboarding 
Dokumen Curian"
8898,3769.97,Apple,iPad Air,1,"Fraud E-Commerce
Pembayaran Ditunda"
8026,374.96,Samsung,Galaxy Tab A8,1,"Counterfeit
Modifikasi Chip"
1982,3108.43,Huawei,P50 Pro,0,Non-Fraud
8033,956.43,Oppo,Reno 8,1,"Fraud Onboarding 
Data Duplikat"
1336,1318.41,Laptop,Asus ROG,1,"Fraud Onboarding 
Identitas Palsu"
3619,4369.48,Realme,C55,1,"Counterfeit
Modifikasi Chip"
3589,415.07,Apple,iPad Pro 12.9,1,"Fraud Onboarding 
Dokumen Curian"
3381,2033.09,Apple,iPad Pro 12.9,0,Non-Fraud
5039,1472.97,Samsung,Galaxy Tab A8,1,"Fraud Onboarding 
Identitas Palsu"
7961,97.61,Apple,iPad Pro 12.9,0,Non-Fraud
7855,1735.06,Realme,C55,0,Non-Fraud
5387,1142.18,Vivo,Y36,0,Non-Fraud
3558,139.47,Laptop,Lenovo ThinkPad,1,"Counterfeit
Penjualan Kartu Palsu"
2437,1317.53,Samsung,Galaxy A54,0,Non-Fraud
5671,2160.55,Xiaomi,Redmi Note 12,1,"Fraud E-Commerce
Ulasan Palsu"
9691,872.62,Apple,iPhone 12,0,Non-Fraud
3238,3061.44,Oppo,Reno 8,0,Non-Fraud
8720,730.31,Apple,iPhone 12,1,"CNP (Card Not Present)
Bot Transaksi"
3511,1865.71,Custom PC,Windows 10 Office PC,0,Non-Fraud
5694,3468.01,Apple,iPad Air,0,Non-Fraud
1617,3979.41,Laptop,Lenovo ThinkPad,0,Non-Fraud
7473,147.89,Google,Pixel 6a,0,Non-Fraud
7161,3468.64,Xiaomi,Pad 6,0,Non-Fraud
2219,3290.27,Apple,iPhone 14 Pro Max,1,"CNP (Card Not Present)
Transaksi Berulang"
7238,156.79,Oppo,A78,0,Non-Fraud
1054,1543.95,Google,Pixel 7,1,"Fraud Onboarding 
Alamat Palsu"
1363,4390.76,Vivo,Y36,1,"CNP (Card Not Present)
Bot Transaksi"
7530,359.1,Apple,iPhone 13 Pro,0,Non-Fraud
5944,479.28,Infinix,Zero Ultra,0,Non-Fraud
6042,4605.06,Samsung,Galaxy Tab A8,0,Non-Fraud
3450,1501.61,Laptop,Acer Aspire,0,Non-Fraud
9780,3427.01,Laptop,HP Pavilion,1,"Fraud Onboarding 
Alamat Palsu"
8096,4612.52,Apple,iPhone 13 Pro,0,Non-Fraud
8230,3591.92,Xiaomi,Redmi 13C,0,Non-Fraud
3970,2117.93,Samsung,Galaxy S23,0,Non-Fraud
9436,4714.17,Vivo,V27 Pro,1,"Fraud E-Commerce
Refund Fraud"
8256,4069.09,Laptop,MSI Stealth,0,Non-Fraud
6562,1278.86,Vivo,X90,1,"Fraud Onboarding 
Data Duplikat"
5697,3742.25,Samsung,Galaxy Z Fold 5,1,"CNP (Card Not Present)
Bot Transaksi"
1130,2424.84,Laptop,MSI Stealth,1,"Counterfeit
Modifikasi Chip"
9773,1675.2,Realme,GT Neo 5,0,Non-Fraud
6414,2741.22,Xiaomi,Pad 6,0,Non-Fraud
5521,2566.17,Laptop,HP Pavilion,1,"Fraud Onboarding 
Data Duplikat"
3685,1783.52,Google,Pixel 7,1,"Fraud E-Commerce
Diskon Palsu"
8424,775.05,Huawei,P50 Pro,0,Non-Fraud
7920,4589.46,Vivo,V27 Pro,1,"Fraud Onboarding 
Identitas Palsu"
1154,228.4,Apple,iPad Air,0,Non-Fraud
5863,4413.34,Apple,iPad Air,0,Non-Fraud
2489,3706.4,Laptop,Acer Aspire,0,Non-Fraud
6872,4731.01,Laptop,Lenovo ThinkPad,0,Non-Fraud
3116,3143.5,Realme,C55,1,"Fraud Onboarding 
Alamat Palsu"
6878,2376.65,Apple,iPhone 14 Pro Max,1,"Counterfeit
Kartu Kloning"
6061,1541.0,Samsung,Galaxy A54,0,Non-Fraud
8974,773.66,Realme,GT Neo 5,0,Non-Fraud
9121,4128.08,Apple,iPhone SE,1,"Fraud E-Commerce
Diskon Palsu"
6362,1768.73,Huawei,MatePad Pro,0,Non-Fraud
2556,446.78,Laptop,HP Pavilion,0,Non-Fraud
9939,2968.66,Apple,iPhone 14 Pro Max,1,"Fraud E-Commerce
Pembayaran Ditunda"
4889,2244.67,Google,Pixel 7,0,Non-Fraud
5743,4877.26,Google,Pixel 6a,0,Non-Fraud
1179,3786.02,Apple,iPhone 14 Pro Max,0,Non-Fraud
4318,3567.94,Samsung,Galaxy A54,1,"Fraud Onboarding 
Data Duplikat"
4371,4730.4,Apple,iPad Air,1,"Fraud Onboarding 
Alamat Palsu"
3792,2375.39,Huawei,Mate 40,1,"Fraud Onboarding 
Identitas Palsu"
1290,4137.19,Xiaomi,Redmi Note 12,0,Non-Fraud
6679,2640.59,Vivo,Y36,1,"Fraud E-Commerce
Ulasan Palsu"
1958,4453.07,Apple,MacBook Air M2,0,Non-Fraud
3517,3543.8,Realme,GT Neo 5,0,Non-Fraud
8547,4065.34,Xiaomi,Poco X5,1,"Counterfeit
Skimming ATM"
8261,2367.86,Xiaomi,Poco X5,1,"Fraud Onboarding 
Dokumen Curian"
4086,4072.23,Realme,C55,1,"CNP (Card Not Present)
Fake Account"
4247,4838.13,Vivo,X90,0,Non-Fraud
4375,2441.41,Apple,iPhone 12,1,"Fraud Onboarding 
Data Duplikat"
8780,454.87,Apple,iPad Pro 12.9,0,Non-Fraud
5883,1754.75,Samsung,Galaxy S23,1,"Fraud E-Commerce
Pesanan Palsu"
6600,1514.22,Realme,GT Neo 5,0,Non-Fraud
6993,2969.9,Laptop,Dell XPS,0,Non-Fraud
7727,4910.99,Xiaomi,Mi 11 Ultra,1,"Counterfeit
Modifikasi Chip"
7268,3829.15,Realme,C55,1,"Counterfeit
Cetak Kartu Palsu"
2815,2600.66,Vivo,V27 Pro,0,Non-Fraud
4688,3699.85,Laptop,Acer Aspire,1,"Fraud Onboarding 
Dokumen Curian"
7764,4459.48,Xiaomi,Mi 11 Ultra,1,"CNP (Card Not Present)
IP Asing "
1710,1653.13,Google,Pixel 7,1,"Fraud Onboarding 
Identitas Palsu"
5299,559.48,Apple,iPad Pro 12.9,1,"CNP (Card Not Present)
Transaksi Berulang"
1307,2937.29,Samsung,Galaxy Tab S9,1,"CNP (Card Not Present)
Phising Data"
8202,655.98,Laptop,MSI Stealth,0,Non-Fraud
6357,1197.87,Laptop,MSI Stealth,1,"Fraud E-Commerce
Refund Fraud"
5888,2655.04,Laptop,HP Pavilion,1,"Counterfeit
Kartu Kloning"
8163,4558.51,Apple,iPad Pro 12.9,0,Non-Fraud
1494,89.76,Vivo,Y36,0,Non-Fraud
8907,3495.02,Laptop,Asus ROG,1,"Counterfeit
Modifikasi Chip"
5087,3362.36,Apple,iPad Air,1,"Fraud Onboarding 
Data Duplikat"
9010,1417.22,Laptop,HP Pavilion,1,"CNP (Card Not Present)
Phising Data"
5979,2120.72,Infinix,Hot 30,1,"Fraud Onboarding 
Alamat Palsu"
4792,4215.0,Xiaomi,Poco X5,1,"Counterfeit
Cetak Kartu Palsu"
9726,2161.37,Oppo,Find X5 Pro,1,"Counterfeit
Skimming ATM"
3906,1852.84,Vivo,V27 Pro,0,Non-Fraud
3703,3294.91,Oppo,Reno 8,1,"Fraud E-Commerce
Pesanan Palsu"
2413,4929.44,Apple,iPhone 14 Pro Max,1,"CNP (Card Not Present)
Phising Data"
9757,2905.15,Infinix,Hot 30,0,Non-Fraud
9418,1722.84,Apple,MacBook Air M2,0,Non-Fraud
1100,2519.32,Huawei,MatePad Pro,1,"CNP (Card Not Present)
Fake Account"
8624,1516.06,Huawei,P50 Pro,1,"Counterfeit
Modifikasi Chip"
6327,1058.21,Xiaomi,Redmi 13C,0,Non-Fraud
7656,1065.07,Xiaomi,Redmi Note 12,0,Non-Fraud
6234,972.19,Google,Pixel 7,0,Non-Fraud
5328,2198.14,Realme,C55,1,"Fraud E-Commerce
Refund Fraud"
6506,2266.33,Huawei,P50 Pro,1,"Counterfeit
Cetak Kartu Palsu"
7783,2783.77,Infinix,Hot 30,1,"Fraud E-Commerce
Ulasan Palsu"
8546,1687.58,Infinix,Hot 30,1,"Fraud E-Commerce
Ulasan Palsu"
3353,4492.87,Google,Pixel 7,1,"Fraud E-Commerce
Refund Fraud"
4925,4509.89,Vivo,X90,1,"CNP (Card Not Present)
Phising Data"
6583,2790.71,Xiaomi,Redmi Note 12,0,Non-Fraud
4917,1616.6,Samsung,Galaxy Note 20,0,Non-Fraud
3306,1879.7,Samsung,Galaxy A54,0,Non-Fraud
8685,2045.38,Apple,MacBook Pro M3,1,"Fraud Onboarding 
Identitas Palsu"
2526,588.93,Xiaomi,Mi 11 Ultra,0,Non-Fraud
5862,2294.84,Vivo,X90,1,"Fraud E-Commerce
Pembayaran Ditunda"
6369,1878.89,Google,Pixel 7,0,Non-Fraud
9073,17.29,Custom PC,Windows 11 Gaming Rig,0,Non-Fraud
5501,980.4,Custom PC,Windows 10 Office PC,1,"Fraud Onboarding 
Data Duplikat"
9985,3450.58,Custom PC,Windows 10 Office PC,0,Non-Fraud
3668,702.81,Laptop,MSI Stealth,0,Non-Fraud
4858,1178.57,Laptop,Dell XPS,0,Non-Fraud
7227,3027.17,Samsung,Galaxy Note 20,0,Non-Fraud
8057,941.98,Laptop,Acer Aspire,1,"Fraud Onboarding 
Alamat Palsu"
6303,4004.02,Laptop,Asus ROG,0,Non-Fraud
5718,988.39,Laptop,Dell XPS,0,Non-Fraud
4694,915.64,Xiaomi,Redmi Note 12,0,Non-Fraud
1644,1042.88,Infinix,Hot 30,1,"Counterfeit
Penjualan Kartu Palsu"
3767,1003.12,Samsung,Galaxy Note 20,0,Non-Fraud
5844,1424.5,Xiaomi,Pad 6,0,Non-Fraud
7879,1766.21,Huawei,MatePad Pro,1,"Counterfeit
Modifikasi Chip"
8327,2376.39,Apple,iPad Air,1,"Fraud Onboarding 
Data Duplikat"
4962,1206.05,Google,Pixel 6a,1,"Fraud Onboarding 
Data Duplikat"
4047,162.07,Google,Pixel 6a,0,Non-Fraud
3961,1120.18,Xiaomi,Mi 11 Ultra,1,"CNP (Card Not Present)
Fake Account"
1671,264.35,Samsung,Galaxy Tab A8,1,"CNP (Card Not Present)
Transaksi Berulang"
5854,4365.85,Samsung,Galaxy S23,1,"Fraud E-Commerce
Pembayaran Ditunda"
5369,3293.13,Apple,iPad Pro 12.9,0,Non-Fraud
8112,237.55,Xiaomi,Redmi 13C,0,Non-Fraud
8840,2846.23,Oppo,Reno 8,1,"Counterfeit
Cetak Kartu Palsu"
2933,1228.22,Apple,iPhone 13 Pro,0,Non-Fraud
4228,4495.37,Xiaomi,Redmi 13C,1,"Counterfeit
Modifikasi Chip"
4803,2538.75,Oppo,A78,0,Non-Fraud
7635,4167.08,Apple,iPhone SE,1,"Counterfeit
Kartu Kloning"
3640,4802.12,Apple,iPhone 13 Pro,0,Non-Fraud
3277,1836.57,Apple,MacBook Air M2,0,Non-Fraud
3586,4835.05,Laptop,HP Pavilion,0,Non-Fraud
9672,254.26,Samsung,Galaxy Tab S9,1,"CNP (Card Not Present)
Fake Account"
5558,4288.5,Custom PC,Windows 11 Gaming Rig,0,Non-Fraud
2222,2512.83,Laptop,Acer Aspire,0,Non-Fraud
1738,1048.17,Xiaomi,Redmi Note 12,1,"CNP (Card Not Present)
Phising Data"
9561,1712.83,Huawei,Mate 40,0,Non-Fraud
2910,257.58,Laptop,HP Pavilion,1,"Fraud Onboarding 
Bot Registerasi"
6977,4330.43,Oppo,A78,0,Non-Fraud
8805,360.43,Apple,iPhone 12,1,"CNP (Card Not Present)
Bot Transaksi"
6611,1109.17,Xiaomi,Poco X5,0,Non-Fraud
6016,4798.71,Laptop,HP Pavilion,1,"Fraud Onboarding 
Dokumen Curian"
3747,1728.1,Samsung,Galaxy Tab S9,0,Non-Fraud
1125,4674.03,Huawei,Mate 40,1,"CNP (Card Not Present)
Bot Transaksi"
8653,412.38,Samsung,Galaxy Z Fold 5,1,"Fraud Onboarding 
Dokumen Curian"
4236,2290.85,Xiaomi,Mi 11 Ultra,1,"Counterfeit
Penjualan Kartu Palsu"
6451,1074.86,Oppo,Reno 8,1,"Counterfeit
Skimming ATM"
9631,4670.38,Oppo,A78,1,"Fraud Onboarding 
Bot Registerasi"
1265,1684.74,Apple,iPhone 14 Pro Max,0,Non-Fraud
8029,3920.59,Samsung,Galaxy Tab S9,0,Non-Fraud
6196,2500.4,Xiaomi,Redmi 13C,0,Non-Fraud
4643,3325.87,Samsung,Galaxy Tab A8,0,Non-Fraud
1903,2521.32,Apple,iPhone 12,0,Non-Fraud
9138,3543.25,Huawei,MatePad Pro,0,Non-Fraud
2120,4650.15,Samsung,Galaxy Note 20,1,"CNP (Card Not Present)
Bot Transaksi"
9305,724.5,Xiaomi,Redmi 13C,0,Non-Fraud
7471,2982.34,Apple,MacBook Air M2,0,Non-Fraud
5501,2286.43,Laptop,HP Pavilion,0,Non-Fraud
4577,517.64,Xiaomi,Redmi 13C,1,"CNP (Card Not Present)
Fake Account"
2490,2996.62,Apple,iPhone 12,0,Non-Fraud
9876,3043.4,Laptop,HP Pavilion,1,"Counterfeit
Skimming ATM"
6493,2085.53,Apple,iPhone 13 Pro,1,"Fraud Onboarding 
Data Duplikat"
6969,658.24,Xiaomi,Mi 11 Ultra,1,"Fraud Onboarding 
Dokumen Curian"
9360,4824.13,Laptop,Dell XPS,1,"Counterfeit
Cetak Kartu Palsu"
6734,1237.66,Laptop,Lenovo ThinkPad,0,Non-Fraud
9400,4005.44,Laptop,Dell XPS,1,"Counterfeit
Modifikasi Chip"
6975,2655.98,Oppo,A78,1,"Fraud E-Commerce
Diskon Palsu"
3548,2622.5,Apple,iPhone 13 Pro,0,Non-Fraud
2976,1701.04,Laptop,Acer Aspire,0,Non-Fraud
2589,1665.87,Xiaomi,Poco X5,1,"CNP (Card Not Present)
Bot Transaksi"
5399,1442.3,Laptop,Acer Aspire,1,"Fraud E-Commerce
Pesanan Palsu"
4018,2721.25,Apple,iPhone 14 Pro Max,1,"Fraud E-Commerce
Refund Fraud"
1382,3654.3,Vivo,Y36,1,"Fraud E-Commerce
Ulasan Palsu"
4628,2732.38,Infinix,Hot 30,0,Non-Fraud
7863,4611.51,Apple,iPad Air,1,"Fraud E-Commerce
Pembayaran Ditunda"
8201,3791.13,Oppo,A78,0,Non-Fraud
2047,1908.08,Xiaomi,Mi 11 Ultra,0,Non-Fraud
2854,1970.99,Apple,MacBook Air M2,0,Non-Fraud
6064,3330.66,Xiaomi,Redmi 13C,1,"CNP (Card Not Present)
Transaksi Berulang"
2503,750.36,Samsung,Galaxy Z Fold 5,1,"Fraud E-Commerce
Refund Fraud"
1935,4413.21,Apple,MacBook Pro M3,1,"CNP (Card Not Present)
Bot Transaksi"
9262,2695.04,Huawei,Mate 40,1,"Fraud Onboarding 
Dokumen Curian"
9826,1049.73,Apple,iPhone 12,0,Non-Fraud
7245,1804.82,Oppo,Reno 8,1,"Fraud E-Commerce
Pesanan Palsu"
1055,4820.95,Infinix,Hot 30,1,"Counterfeit
Skimming ATM"
8758,4843.88,Apple,iPhone 12,0,Non-Fraud
7326,1074.65,Infinix,Zero Ultra,0,Non-Fraud
8255,3096.49,Infinix,Hot 30,1,"Fraud E-Commerce
Pembayaran Ditunda"
8614,2308.52,Oppo,Find X5 Pro,0,Non-Fraud
8242,1302.62,Realme,C55,0,Non-Fraud
6454,1097.28,Infinix,Hot 30,1,"Counterfeit
Cetak Kartu Palsu"
8397,4347.99,Laptop,Acer Aspire,1,"CNP (Card Not Present)
Fake Account"
6528,3763.78,Laptop,MSI Stealth,1,"CNP (Card Not Present)
Phising Data"
7963,4082.21,Xiaomi,Redmi 13C,1,"CNP (Card Not Present)
Phising Data"
7836,4060.95,Laptop,MSI Stealth,0,Non-Fraud
1004,392.29,Vivo,V27 Pro,1,"Fraud E-Commerce
Ulasan Palsu"
1845,3122.13,Huawei,P50 Pro,0,Non-Fraud
3241,2971.23,Xiaomi,Redmi 13C,1,"Fraud E-Commerce
Ulasan Palsu"
8717,1302.93,Samsung,Galaxy Tab S9,0,Non-Fraud
3041,2584.29,Infinix,Zero Ultra,0,Non-Fraud
1251,799.91,Apple,iPad Pro 12.9,1,"Counterfeit
Skimming ATM"
4708,3670.44,Custom PC,Windows 11 Gaming Rig,1,"CNP (Card Not Present)
Transaksi Berulang"
8785,1110.73,Laptop,Dell XPS,0,Non-Fraud
4231,1042.82,Samsung,Galaxy Tab A8,1,"Fraud E-Commerce
Pesanan Palsu"
3711,3814.09,Google,Pixel 6a,1,"Counterfeit
Penjualan Kartu Palsu"
5921,4820.12,Oppo,Reno 8,1,"CNP (Card Not Present)
Phising Data"
8568,4708.05,Oppo,Reno 8,1,"Fraud Onboarding 
Alamat Palsu"
5123,1593.91,Apple,iPhone 13 Pro,1,"CNP (Card Not Present)
IP Asing "
6278,1035.67,Xiaomi,Redmi Note 12,0,Non-Fraud
9629,3438.46,Apple,MacBook Air M2,1,"Fraud E-Commerce
Pembayaran Ditunda"
6659,2684.5,Oppo,Find X5 Pro,1,"Fraud E-Commerce
Refund Fraud"
6215,3099.96,Vivo,X90,1,"CNP (Card Not Present)
Bot Transaksi"
1596,478.49,Samsung,Galaxy Tab A8,1,"Fraud E-Commerce
Diskon Palsu"
7949,3822.43,Samsung,Galaxy Tab A8,0,Non-Fraud
6833,2951.27,Custom PC,Windows 10 Office PC,0,Non-Fraud
1342,2420.42,Vivo,V27 Pro,1,"Counterfeit
Modifikasi Chip"
9583,2308.77,Samsung,Galaxy Z Fold 5,0,Non-Fraud
7480,3152.0,Samsung,Galaxy Note 20,1,"Fraud E-Commerce
Pesanan Palsu"
6546,1205.57,Google,Pixel 6a,1,"Counterfeit
Kartu Kloning"
4042,2729.35,Huawei,P50 Pro,0,Non-Fraud
7841,660.43,Infinix,Hot 30,1,"Counterfeit
Skimming ATM"
3513,2449.0,Google,Pixel 7,0,Non-Fraud
4820,1348.15,Xiaomi,Pad 6,1,"Counterfeit
Kartu Kloning"
3320,3061.24,Apple,iPad Air,0,Non-Fraud
9416,2410.4,Vivo,Y36,1,"Fraud Onboarding 
Bot Registerasi"
8269,3289.28,Laptop,Lenovo ThinkPad,0,Non-Fraud
6359,2795.61,Oppo,Find X5 Pro,0,Non-Fraud
2851,4941.4,Oppo,Find X5 Pro,1,"Counterfeit
Cetak Kartu Palsu"
2689,2058.98,Samsung,Galaxy Tab S9,1,"CNP (Card Not Present)
Bot Transaksi"
1089,1781.09,Laptop,MSI Stealth,1,"Fraud E-Commerce
Refund Fraud"
3607,514.32,Samsung,Galaxy Tab S9,1,"Fraud E-Commerce
Ulasan Palsu"
4165,571.09,Realme,GT Neo 5,0,Non-Fraud
1628,756.89,Laptop,Dell XPS,1,"CNP (Card Not Present)
Phising Data"
4779,1387.98,Laptop,HP Pavilion,0,Non-Fraud
6938,916.88,Huawei,Mate 40,1,"Fraud E-Commerce
Pembayaran Ditunda"
1697,1863.24,Samsung,Galaxy Tab S9,1,"Fraud Onboarding 
Bot Registerasi"
8772,2043.41,Custom PC,Windows 11 Gaming Rig,1,"CNP (Card Not Present)
IP Asing "
